,rho,rule,complete,missing,N,E,T_h
78,0.31,TNE,True,,20.0,67.22759022628541,10.162826968534196
79,0.31,NET,True,,20.0,67.22759022628541,10.162826968534196
80,0.31,ENT,True,,26.0,66.5186024045072,12.912620093955773
81,0.32,TNE,True,,20.0,69.42361754582078,10.19556317176318
82,0.32,NET,True,,20.0,69.42361754582078,10.19556317176318
83,0.32,ENT,True,,26.0,68.61986484299142,12.931650592015558
84,0.33,TNE,True,,20.0,74.29330042451802,10.255363958664583
85,0.33,NET,True,,20.0,74.29330042451802,10.255363958664583
86,0.33,ENT,True,,28.0,70.59524942056514,13.89717120834675
87,0.34,TNE,True,,22.0,76.1841845427567,11.243832010497707
88,0.34,NET,True,,22.0,76.15391637475192,11.24716534383104
89,0.34,ENT,True,,30.0,74.8996164501983,14.920047531686855
90,0.35,TNE,True,,25.0,75.63785833603526,12.603212141191237
91,0.35,NET,True,,25.0,75.6075901680305,12.606545474524571
92,0.35,ENT,True,,30.0,74.8996164501983,14.920047531686855
93,0.36,TNE,False,S008,,,
94,0.36,NET,False,S008,,,
95,0.36,ENT,False,S008,,,
96,0.37,TNE,False,S008,,,
97,0.37,NET,False,S008,,,
98,0.37,ENT,False,S008,,,
99,0.38,TNE,False,"S004,S008",,,
100,0.38,NET,False,"S004,S008",,,
101,0.38,ENT,False,"S004,S008",,,
102,0.39,TNE,False,"S004,S008",,,
103,0.39,NET,False,"S004,S008",,,
104,0.39,ENT,False,"S004,S008",,,
105,0.4,TNE,False,"S004,S008",,,
106,0.4,NET,False,"S004,S008",,,
107,0.4,ENT,False,"S004,S008",,,
108,0.41,TNE,False,"S002,S003,S004,S008,S012",,,
109,0.41,NET,False,"S002,S003,S004,S008,S012",,,
110,0.41,ENT,False,"S002,S003,S004,S008,S012",,,
111,0.42,TNE,False,"S002,S003,S004,S008,S012",,,
112,0.42,NET,False,"S002,S003,S004,S008,S012",,,
113,0.42,ENT,False,"S002,S003,S004,S008,S012",,,
114,0.43,TNE,False,"S002,S003,S004,S008,S012",,,
115,0.43,NET,False,"S002,S003,S004,S008,S012",,,
116,0.43,ENT,False,"S002,S003,S004,S008,S012",,,
117,0.44,TNE,False,"S002,S003,S004,S008,S012",,,
118,0.44,NET,False,"S002,S003,S004,S008,S012",,,
119,0.44,ENT,False,"S002,S003,S004,S008,S012",,,
120,0.45,TNE,False,"S002,S003,S004,S008,S012",,,
121,0.45,NET,False,"S002,S003,S004,S008,S012",,,
122,0.45,ENT,False,"S002,S003,S004,S008,S012",,,
