,rho,area,g,qmax
643,0.19,S005,B,30.0
644,0.19,S005,C,80.0
645,0.19,S006,A,25.0
646,0.19,S006,B,30.0
647,0.19,S006,C,80.0
648,0.19,S007,A,25.0
649,0.19,S007,B,30.0
650,0.19,S007,C,80.0
651,0.19,S008,A,25.0
652,0.19,S008,B,29.36716603498357
653,0.19,S008,C,60.449967485632364
654,0.19,S009,A,25.0
655,0.19,S009,B,30.0
656,0.19,S009,C,80.0
657,0.19,S010,A,25.0
658,0.19,S010,B,30.0
659,0.19,S010,C,80.0
660,0.19,S011,A,25.0
661,0.19,S011,B,30.0
662,0.19,S011,C,80.0
663,0.19,S012,A,25.0
664,0.19,S012,B,30.0
665,0.19,S012,C,69.32410906703038
666,0.19,S013,A,25.0
667,0.19,S013,B,30.0
668,0.19,S013,C,80.0
669,0.19,S014,A,25.0
670,0.19,S014,B,30.0
671,0.19,S014,C,80.0
672,0.19,S015,A,25.0
673,0.19,S015,B,30.0
674,0.19,S015,C,80.0
675,0.2,S001,A,25.0
676,0.2,S001,B,30.0
677,0.2,S001,C,80.0
678,0.2,S002,A,25.0
679,0.2,S002,B,30.0
680,0.2,S002,C,68.86034171535637
681,0.2,S003,A,25.0
682,0.2,S003,B,30.0
683,0.2,S003,C,68.20648858510403
684,0.2,S004,A,25.0
685,0.2,S004,B,30.0
686,0.2,S004,C,63.69695544658951
687,0.2,S005,A,25.0
688,0.2,S005,B,30.0
689,0.2,S005,C,80.0
690,0.2,S006,A,25.0
691,0.2,S006,B,30.0
692,0.2,S006,C,80.0
693,0.2,S007,A,25.0
694,0.2,S007,B,30.0
695,0.2,S007,C,80.0
696,0.2,S008,A,25.0
697,0.2,S008,B,28.801233427041556
698,0.2,S008,C,58.90436041943594
699,0.2,S009,A,25.0
700,0.2,S009,B,30.0
701,0.2,S009,C,80.0
702,0.2,S010,A,25.0
703,0.2,S010,B,30.0
704,0.2,S010,C,80.0
705,0.2,S011,A,25.0
706,0.2,S011,B,30.0
707,0.2,S011,C,80.0
708,0.2,S012,A,25.0
709,0.2,S012,B,30.0
710,0.2,S012,C,68.11719106783526
711,0.2,S013,A,25.0
712,0.2,S013,B,30.0
713,0.2,S013,C,80.0
714,0.2,S014,A,25.0
715,0.2,S014,B,30.0
716,0.2,S014,C,80.0
717,0.2,S015,A,25.0
718,0.2,S015,B,30.0
719,0.2,S015,C,80.0
720,0.21,S001,A,25.0
721,0.21,S001,B,30.0
722,0.21,S001,C,80.0
723,0.21,S002,A,25.0
724,0.21,S002,B,30.0
725,0.21,S002,C,67.62655558229024
726,0.21,S003,A,25.0
727,0.21,S003,B,30.0
728,0.21,S003,C,66.93394378894155
729,0.21,S004,A,25.0
730,0.21,S004,B,29.864865812433948
731,0.21,S004,C,62.2596751652891
732,0.21,S005,A,25.0
733,0.21,S005,B,30.0
734,0.21,S005,C,80.0
735,0.21,S006,A,25.0
736,0.21,S006,B,30.0
737,0.21,S006,C,80.0
738,0.21,S007,A,25.0
739,0.21,S007,B,30.0
740,0.21,S007,C,80.0
741,0.21,S008,A,25.0
742,0.21,S008,B,28.20615668146688
743,0.21,S008,C,57.272726574252175
744,0.21,S009,A,25.0
745,0.21,S009,B,30.0
746,0.21,S009,C,80.0
747,0.21,S010,A,25.0
748,0.21,S010,B,30.0
749,0.21,S010,C,80.0
750,0.21,S011,A,25.0
751,0.21,S011,B,30.0
752,0.21,S011,C,80.0
753,0.21,S012,A,25.0
754,0.21,S012,B,30.0
755,0.21,S012,C,66.85069739505286
756,0.21,S013,A,25.0
757,0.21,S013,B,30.0
758,0.21,S013,C,80.0
759,0.21,S014,A,25.0
760,0.21,S014,B,30.0
761,0.21,S014,C,80.0
762,0.21,S015,A,25.0
763,0.21,S015,B,30.0
764,0.21,S015,C,80.0
765,0.22,S001,A,25.0
766,0.22,S001,B,30.0
767,0.22,S001,C,80.0
768,0.22,S002,A,25.0
769,0.22,S002,B,30.0
770,0.22,S002,C,66.33057727284614
771,0.22,S003,A,25.0
772,0.22,S003,B,30.0
773,0.22,S003,C,65.59701115335233
774,0.22,S004,A,25.0
775,0.22,S004,B,29.298782355428976
776,0.22,S004,C,60.74486665784074
777,0.22,S005,A,25.0
778,0.22,S005,B,30.0
779,0.22,S005,C,80.0
780,0.22,S006,A,25.0
781,0.22,S006,B,30.0
782,0.22,S006,C,80.0
783,0.22,S007,A,25.0
784,0.22,S007,B,30.0
785,0.22,S007,C,80.0
786,0.22,S008,A,25.0
787,0.22,S008,B,27.57948687676048
788,0.22,S008,C,55.54697245559011
789,0.22,S009,A,25.0
790,0.22,S009,B,30.0
791,0.22,S009,C,80.0
792,0.22,S010,A,25.0
793,0.22,S010,B,30.0
794,0.22,S010,C,80.0
795,0.22,S011,A,25.0
796,0.22,S011,B,30.0
797,0.22,S011,C,80.0
798,0.22,S012,A,25.0
799,0.22,S012,B,30.0
800,0.22,S012,C,65.51989446788602
801,0.22,S013,A,25.0
802,0.22,S013,B,30.0
803,0.22,S013,C,80.0
804,0.22,S014,A,25.0
805,0.22,S014,B,30.0
806,0.22,S014,C,80.0
807,0.22,S015,A,25.0
808,0.22,S015,B,30.0
809,0.22,S015,C,80.0
810,0.23,S001,A,25.0
811,0.23,S001,B,30.0
812,0.23,S001,C,80.0
813,0.23,S002,A,25.0
814,0.23,S002,B,30.0
815,0.23,S002,C,64.96731709144528
816,0.23,S003,A,25.0
817,0.23,S003,B,30.0
818,0.23,S003,C,64.190472315968
819,0.23,S004,A,25.0
820,0.23,S004,B,28.70303053073242
821,0.23,S004,C,59.145609187273045
822,0.23,S005,A,25.0
823,0.23,S005,B,30.0
824,0.23,S005,C,80.0
825,0.23,S006,A,25.0
826,0.23,S006,B,30.0
827,0.23,S006,C,80.0
828,0.23,S007,A,25.0
829,0.23,S007,B,30.0
830,0.23,S007,C,80.0
831,0.23,S008,A,25.0
832,0.23,S008,B,26.918469254439575
833,0.23,S008,C,53.71781676009863
834,0.23,S009,A,25.0
835,0.23,S009,B,30.0
836,0.23,S009,C,80.0
837,0.23,S010,A,25.0
838,0.23,S010,B,30.0
839,0.23,S010,C,80.0
840,0.23,S011,A,25.0
841,0.23,S011,B,30.0
842,0.23,S011,C,80.0
843,0.23,S012,A,25.0
844,0.23,S012,B,30.0
845,0.23,S012,C,64.11949876812281
846,0.23,S013,A,25.0
847,0.23,S013,B,30.0
848,0.23,S013,C,80.0
849,0.23,S014,A,25.0
850,0.23,S014,B,30.0
851,0.23,S014,C,80.0
852,0.23,S015,A,25.0
853,0.23,S015,B,30.0
854,0.23,S015,C,80.0
855,0.24,S001,A,25.0
856,0.24,S001,B,30.0
857,0.24,S001,C,80.0
858,0.24,S002,A,25.0
859,0.24,S002,B,30.0
860,0.24,S002,C,63.53107121448631
861,0.24,S003,A,25.0
862,0.24,S003,B,29.644420505729805
863,0.24,S003,C,62.70849116686364
864,0.24,S004,A,25.0
865,0.24,S004,B,28.075087572890173
866,0.24,S004,C,57.45404371868724
867,0.24,S005,A,25.0
868,0.24,S005,B,30.0
869,0.24,S005,C,80.0
870,0.24,S006,A,25.0
871,0.24,S006,B,30.0
872,0.24,S006,C,80.0
873,0.24,S007,A,25.0
874,0.24,S007,B,30.0
875,0.24,S007,C,80.0
876,0.24,S008,A,25.0
877,0.24,S008,B,26.219988824774834
878,0.24,S008,C,51.77452899116864
879,0.24,S009,A,25.0
880,0.24,S009,B,30.0
881,0.24,S009,C,80.0
882,0.24,S010,A,25.0
883,0.24,S010,B,30.0
884,0.24,S010,C,80.0
885,0.24,S011,A,25.0
886,0.24,S011,B,30.0
887,0.24,S011,C,80.0
888,0.24,S012,A,25.0
889,0.24,S012,B,30.0
890,0.24,S012,C,62.64358735797077
891,0.24,S013,A,25.0
892,0.24,S013,B,30.0
893,0.24,S013,C,80.0
894,0.24,S014,A,25.0
895,0.24,S014,B,30.0
896,0.24,S014,C,80.0
897,0.24,S015,A,25.0
898,0.24,S015,B,30.0
899,0.24,S015,C,79.39798704222399
900,0.25,S001,A,25.0
901,0.25,S001,B,30.0
